n,x,y,f,obj,rel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
16100,127,30,0,3335,0.831,0,0,1,0,0,1,1,1,0,1,1,1,1,1,0
16101,127,29,0,3435,0.856,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0
16102,127,28,0,3555,0.885,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0
16103,127,27,0,3655,0.910,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0
16104,127,26,0,3645,0.908,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0
16105,127,25,0,3745,0.933,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0
16106,127,24,0,3865,0.963,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0
16107,127,23,0,3965,0.988,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0
16108,127,22,0,3735,0.930,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0
16109,127,21,0,3835,0.955,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0
16110,127,20,0,3955,0.985,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0
16111,127,19,0,4055,1.010,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
16112,127,18,0,3545,0.883,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0
16113,127,17,0,3645,0.908,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0
16114,127,16,0,3765,0.938,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0
16115,127,15,0,3865,0.963,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0
16116,127,14,0,3635,0.905,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0
16117,127,13,0,3735,0.930,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0
16118,127,12,0,3855,0.960,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0
16119,127,11,0,3955,0.985,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
16120,127,10,0,3945,0.983,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0
16121,127,9,0,4045,1.007,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0
16122,127,8,0,4165,1.037,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0
16123,127,7,0,4265,1.062,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0
16124,127,6,0,4035,1.005,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0
16125,127,5,0,4135,1.030,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0
16126,127,4,0,4255,1.060,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
16127,127,3,0,4355,1.085,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
16128,127,2,0,2680,0.667,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
16129,127,1,0,2780,0.692,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0
16130,128,1,0,2900,0.722,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0
16131,128,2,0,3000,0.747,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0
16132,128,3,0,2770,0.690,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0
16133,128,4,0,2870,0.715,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0
16134,128,5,0,2990,0.745,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0
16135,128,6,0,3090,0.770,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0
16136,128,7,0,3080,0.767,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0
16137,128,8,0,3180,0.792,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0
16138,128,9,0,3300,0.822,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0
16139,128,10,0,3400,0.847,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0
16140,128,11,0,3170,0.790,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0
16141,128,12,0,3270,0.814,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0
16142,128,13,0,3390,0.844,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0
16143,128,14,0,3490,0.869,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0
16144,128,15,0,2980,0.742,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0
16145,128,16,0,3080,0.767,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0
16146,128,17,0,3200,0.797,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0
16147,128,18,0,3300,0.822,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0
16148,128,19,0,3070,0.765,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0
16149,128,20,0,3170,0.790,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0
16150,128,21,0,3290,0.819,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0
16151,128,22,0,3390,0.844,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0
16152,128,23,0,3380,0.842,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0
16153,128,24,0,3480,0.867,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0
16154,128,25,0,3600,0.897,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0
16155,128,26,0,3700,0.922,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0
16156,128,27,0,3470,0.864,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0
16157,128,28,0,3570,0.889,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0
16158,128,29,0,3690,0.919,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0
16159,128,30,0,3790,0.944,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
16160,128,31,0,3080,0.767,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0
16161,128,32,0,3180,0.792,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0
16162,128,33,0,3300,0.822,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0
16163,128,34,0,3400,0.847,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0
16164,128,35,0,3170,0.790,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0
16165,128,36,0,3270,0.814,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0
16166,128,37,0,3390,0.844,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0
16167,128,38,0,3490,0.869,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0
16168,128,39,0,3480,0.867,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0
16169,128,40,0,3580,0.892,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0
16170,128,41,0,3700,0.922,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0
16171,128,42,0,3800,0.946,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0
16172,128,43,0,3570,0.889,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0
16173,128,44,0,3670,0.914,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0
16174,128,45,0,3790,0.944,0,1,1,1,0,1,0,0,1,1,1,1,1,1,0
16175,128,46,0,3890,0.969,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
16176,128,47,0,3380,0.842,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0
16177,128,48,0,3480,0.867,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0
16178,128,49,0,3600,0.897,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0
16179,128,50,0,3700,0.922,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0
16180,128,51,0,3470,0.864,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0
16181,128,52,0,3570,0.889,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0
16182,128,53,0,3690,0.919,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0
16183,128,54,0,3790,0.944,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0
16184,128,55,0,3780,0.941,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0
16185,128,56,0,3880,0.966,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0
16186,128,57,0,4000,0.996,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0
16187,128,58,0,4100,1.021,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0
16188,128,59,0,3870,0.964,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0
16189,128,60,0,3970,0.989,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0
16190,128,61,0,4090,1.019,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0
16191,128,62,0,4190,1.044,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
16192,128,63,0,2885,0.719,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0
16193,128,64,0,2985,0.743,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0
16194,128,65,0,3105,0.773,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0
16195,128,66,0,3205,0.798,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0
16196,128,67,0,2975,0.741,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0
16197,128,68,0,3075,0.766,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0
16198,128,69,0,3195,0.796,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0
16199,128,70,0,3295,0.821,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0
16200,128,71,0,3285,0.818,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0
16201,128,72,0,3385,0.843,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0
16202,128,73,0,3505,0.873,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0
16203,128,74,0,3605,0.898,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0
16204,128,75,0,3375,0.841,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0
16205,128,76,0,3475,0.866,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0
16206,128,77,0,3595,0.895,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0
16207,128,78,0,3695,0.920,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0
16208,128,79,0,3185,0.793,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0
16209,128,80,0,3285,0.818,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0
16210,128,81,0,3405,0.848,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0
16211,128,82,0,3505,0.873,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0
16212,128,83,0,3275,0.816,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0
16213,128,84,0,3375,0.841,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0
16214,128,85,0,3495,0.870,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0
16215,128,86,0,3595,0.895,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0
16216,128,87,0,3585,0.893,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0
16217,128,88,0,3685,0.918,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0
16218,128,89,0,3805,0.948,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0
16219,128,90,0,3905,0.973,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0
16220,128,91,0,3675,0.915,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0
16221,128,92,0,3775,0.940,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0
16222,128,93,0,3895,0.970,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0
16223,128,94,0,3995,0.995,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
16224,128,95,0,3285,0.818,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0
16225,128,96,0,3385,0.843,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0
16226,128,97,0,3505,0.873,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0
16227,128,98,0,3605,0.898,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0
16228,128,99,0,3375,0.841,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0
16229,128,100,0,3475,0.866,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0
16230,128,101,0,3595,0.895,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0
16231,128,102,0,3695,0.920,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0
16232,128,103,0,3685,0.918,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0
16233,128,104,0,3785,0.943,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0
16234,128,105,0,3905,0.973,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0
16235,128,106,0,4005,0.998,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0
16236,128,107,0,3775,0.940,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0
16237,128,108,0,3875,0.965,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0
16238,128,109,0,3995,0.995,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0
16239,128,110,0,4095,1.020,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
16240,128,111,0,3585,0.893,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0
16241,128,112,0,3685,0.918,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0
16242,128,113,0,3805,0.948,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0
16243,128,114,0,3905,0.973,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0
16244,128,115,0,3675,0.915,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0
16245,128,116,0,3775,0.940,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0
16246,128,117,0,3895,0.970,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0
16247,128,118,0,3995,0.995,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0
16248,128,119,0,3985,0.993,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0
16249,128,120,0,4085,1.017,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0
16250,128,121,0,4205,1.047,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0
16251,128,122,0,4305,1.072,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
16252,128,123,0,4075,1.015,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0
16253,128,124,0,4175,1.040,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0
16254,128,125,0,4295,1.070,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
16255,128,126,0,4395,1.095,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
16256,128,127,0,2800,0.697,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
16257,128,128,0,2900,0.722,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0
16258,127,128,0,3020,0.752,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0
16259,126,128,0,3120,0.777,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0
16260,125,128,0,2890,0.720,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
16261,124,128,0,2990,0.745,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0
16262,123,128,0,3110,0.775,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0
16263,122,128,0,3210,0.800,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0
16264,121,128,0,3200,0.797,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0
16265,120,128,0,3300,0.822,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0
16266,119,128,0,3420,0.852,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0
16267,118,128,0,3520,0.877,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0
16268,117,128,0,3290,0.819,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0
16269,116,128,0,3390,0.844,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0
16270,115,128,0,3510,0.874,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0
16271,114,128,0,3610,0.899,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
16272,113,128,0,3100,0.772,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
16273,112,128,0,3200,0.797,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0
16274,111,128,0,3320,0.827,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0
16275,110,128,0,3420,0.852,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0
16276,109,128,0,3190,0.795,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0
16277,108,128,0,3290,0.819,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0
16278,107,128,0,3410,0.849,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
16279,106,128,0,3510,0.874,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
16280,105,128,0,3500,0.872,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0
16281,104,128,0,3600,0.897,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0
16282,103,128,0,3720,0.927,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0
16283,102,128,0,3820,0.951,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0
16284,101,128,0,3590,0.894,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0
16285,100,128,0,3690,0.919,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0
16286,99,128,0,3810,0.949,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
16287,98,128,0,3910,0.974,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
16288,97,128,0,3200,0.797,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0
16289,96,128,0,3300,0.822,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0
16290,95,128,0,3420,0.852,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0
16291,94,128,0,3520,0.877,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0
16292,93,128,0,3290,0.819,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0
16293,92,128,0,3390,0.844,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0
16294,91,128,0,3510,0.874,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0
16295,90,128,0,3610,0.899,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0
16296,89,128,0,3600,0.897,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0
16297,88,128,0,3700,0.922,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0
16298,87,128,0,3820,0.951,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0
16299,86,128,0,3920,0.976,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0
16300,85,128,0,3690,0.919,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0
16301,84,128,0,3790,0.944,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0
16302,83,128,0,3910,0.974,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0
16303,82,128,0,4010,0.999,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
16304,81,128,0,3500,0.872,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
16305,80,128,0,3600,0.897,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0
16306,79,128,0,3720,0.927,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0
16307,78,128,0,3820,0.951,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0
16308,77,128,0,3590,0.894,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0
16309,76,128,0,3690,0.919,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0
16310,75,128,0,3810,0.949,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0
16311,74,128,0,3910,0.974,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0
16312,73,128,0,3900,0.971,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
16313,72,128,0,4000,0.996,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
16314,71,128,0,4120,1.026,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0
16315,70,128,0,4220,1.051,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
16316,69,128,0,3990,0.994,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0
16317,68,128,0,4090,1.019,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
16318,67,128,0,4210,1.049,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0
16319,66,128,0,4310,1.073,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
16320,65,128,0,3005,0.748,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0
16321,64,128,0,3105,0.773,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
16322,63,128,0,3225,0.803,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
16323,62,128,0,3325,0.828,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
16324,61,128,0,3095,0.771,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0
16325,60,128,0,3195,0.796,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0
16326,59,128,0,3315,0.826,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0
16327,58,128,0,3415,0.851,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
16328,57,128,0,3405,0.848,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0
16329,56,128,0,3505,0.873,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0
16330,55,128,0,3625,0.903,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16331,54,128,0,3725,0.928,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
16332,53,128,0,3495,0.870,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0
16333,52,128,0,3595,0.895,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0
16334,51,128,0,3715,0.925,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0
16335,50,128,0,3815,0.950,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
16336,49,128,0,3305,0.823,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
16337,48,128,0,3405,0.848,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
16338,47,128,0,3525,0.878,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0
16339,46,128,0,3625,0.903,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0
16340,45,128,0,3395,0.846,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0
16341,44,128,0,3495,0.870,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0
16342,43,128,0,3615,0.900,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0
16343,42,128,0,3715,0.925,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
16344,41,128,0,3705,0.923,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0
16345,40,128,0,3805,0.948,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
16346,39,128,0,3925,0.978,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0
16347,38,128,0,4025,1.002,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0
16348,37,128,0,3795,0.945,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0
16349,36,128,0,3895,0.970,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0
16350,35,128,0,4015,1.000,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
16351,34,128,0,4115,1.025,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
16352,33,128,0,3405,0.848,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0
16353,32,128,0,3505,0.873,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0
16354,31,128,0,3625,0.903,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0
16355,30,128,0,3725,0.928,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0
16356,29,128,0,3495,0.870,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0
16357,28,128,0,3595,0.895,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
16358,27,128,0,3715,0.925,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0
16359,26,128,0,3815,0.950,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
16360,25,128,0,3805,0.948,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0
16361,24,128,0,3905,0.973,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0
16362,23,128,0,4025,1.002,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0
16363,22,128,0,4125,1.027,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0
16364,21,128,0,3895,0.970,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0
16365,20,128,0,3995,0.995,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
16366,19,128,0,4115,1.025,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
16367,18,128,0,4215,1.050,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
16368,17,128,0,3705,0.923,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
16369,16,128,0,3805,0.948,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0
16370,15,128,0,3925,0.978,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0
16371,14,128,0,4025,1.002,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
16372,13,128,0,3795,0.945,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0
16373,12,128,0,3895,0.970,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0
16374,11,128,0,4015,1.000,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
16375,10,128,0,4115,1.025,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
16376,9,128,0,4105,1.022,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
16377,8,128,0,4205,1.047,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0
16378,7,128,0,4325,1.077,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0
16379,6,128,0,4425,1.102,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
16380,5,128,0,4195,1.045,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
16381,4,128,0,4295,1.070,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
16382,3,128,0,4415,1.100,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
16383,2,128,0,4515,1.125,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
16384,1,128,1,650,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16385,1,129,1,750,0.187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16386,2,129,1,870,0.217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16387,3,129,1,970,0.242,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
16388,4,129,1,740,0.184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16389,5,129,1,840,0.209,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16390,6,129,1,960,0.239,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
16391,7,129,1,1060,0.264,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
16392,8,129,1,1050,0.262,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16393,9,129,1,1150,0.286,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16394,10,129,1,1270,0.316,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
16395,11,129,1,1370,0.341,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
16396,12,129,1,1140,0.284,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
16397,13,129,1,1240,0.309,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
16398,14,129,1,1360,0.339,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
16399,15,129,1,1460,0.364,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
16400,16,129,1,950,0.237,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16401,17,129,1,1050,0.262,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16402,18,129,1,1170,0.291,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
