n,x,y,f,obj,rel,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
398,3,20,0,105630,1.213,0,1,1,1,0,0,0,1,1,0
399,2,20,0,111631,1.282,1,1,1,1,0,0,0,1,1,0
400,1,20,1,46211,0.531,0,0,0,0,1,0,0,1,1,0
401,1,21,1,52212,0.600,1,0,0,0,1,0,0,1,1,0
402,2,21,1,49316,0.566,0,1,0,0,1,0,0,1,1,0
403,3,21,1,55317,0.635,1,1,0,0,1,0,0,1,1,0
404,4,21,1,64211,0.738,0,0,1,0,1,0,0,1,1,0
405,5,21,1,70212,0.806,1,0,1,0,1,0,0,1,1,0
406,6,21,1,67316,0.773,0,1,1,0,1,0,0,1,1,0
407,7,21,1,73317,0.842,1,1,1,0,1,0,0,1,1,0
408,8,21,0,84711,0.973,0,0,0,1,1,0,0,1,1,0
409,9,21,0,90712,1.042,1,0,0,1,1,0,0,1,1,0
410,10,21,0,87816,1.009,0,1,0,1,1,0,0,1,1,0
411,11,21,0,93817,1.078,1,1,0,1,1,0,0,1,1,0
412,12,21,0,102711,1.180,0,0,1,1,1,0,0,1,1,0
413,13,21,0,108712,1.249,1,0,1,1,1,0,0,1,1,0
414,14,21,0,105816,1.215,0,1,1,1,1,0,0,1,1,0
415,15,21,0,111817,1.284,1,1,1,1,1,0,0,1,1,0
416,16,21,1,48012,0.551,0,0,0,0,0,1,0,1,1,0
417,17,21,1,54013,0.620,1,0,0,0,0,1,0,1,1,0
418,18,21,1,51117,0.587,0,1,0,0,0,1,0,1,1,0
419,19,21,1,57118,0.656,1,1,0,0,0,1,0,1,1,0
420,20,21,1,66012,0.758,0,0,1,0,0,1,0,1,1,0
421,21,21,1,72013,0.827,1,0,1,0,0,1,0,1,1,0
422,21,20,1,69117,0.794,0,1,1,0,0,1,0,1,1,0
423,21,19,1,75118,0.863,1,1,1,0,0,1,0,1,1,0
424,21,18,0,86512,0.994,0,0,0,1,0,1,0,1,1,0
425,21,17,0,92513,1.063,1,0,0,1,0,1,0,1,1,0
426,21,16,0,89617,1.029,0,1,0,1,0,1,0,1,1,0
427,21,15,0,95618,1.098,1,1,0,1,0,1,0,1,1,0
428,21,14,0,104512,1.200,0,0,1,1,0,1,0,1,1,0
429,21,13,0,110513,1.269,1,0,1,1,0,1,0,1,1,0
430,21,12,0,107617,1.236,0,1,1,1,0,1,0,1,1,0
431,21,11,0,113618,1.305,1,1,1,1,0,1,0,1,1,0
432,21,10,1,48198,0.554,0,0,0,0,1,1,0,1,1,0
433,21,9,1,54199,0.623,1,0,0,0,1,1,0,1,1,0
434,21,8,1,51303,0.589,0,1,0,0,1,1,0,1,1,0
435,21,7,1,57304,0.658,1,1,0,0,1,1,0,1,1,0
436,21,6,1,66198,0.760,0,0,1,0,1,1,0,1,1,0
437,21,5,1,72199,0.829,1,0,1,0,1,1,0,1,1,0
438,21,4,1,69303,0.796,0,1,1,0,1,1,0,1,1,0
439,21,3,1,75304,0.865,1,1,1,0,1,1,0,1,1,0
440,21,2,0,86698,0.996,0,0,0,1,1,1,0,1,1,0
441,21,1,0,92699,1.065,1,0,0,1,1,1,0,1,1,0
442,22,1,0,89803,1.031,0,1,0,1,1,1,0,1,1,0
443,22,2,0,95804,1.100,1,1,0,1,1,1,0,1,1,0
444,22,3,0,104698,1.203,0,0,1,1,1,1,0,1,1,0
445,22,4,0,110699,1.272,1,0,1,1,1,1,0,1,1,0
446,22,5,0,107803,1.238,0,1,1,1,1,1,0,1,1,0
447,22,6,0,113804,1.307,1,1,1,1,1,1,0,1,1,0
448,22,7,1,54845,0.630,0,0,0,0,0,0,1,1,1,0
449,22,8,1,60846,0.699,1,0,0,0,0,0,1,1,1,0
450,22,9,1,57950,0.666,0,1,0,0,0,0,1,1,1,0
451,22,10,1,63951,0.735,1,1,0,0,0,0,1,1,1,0
452,22,11,0,72845,0.837,0,0,1,0,0,0,1,1,1,0
453,22,12,0,78846,0.906,1,0,1,0,0,0,1,1,1,0
454,22,13,0,75950,0.872,0,1,1,0,0,0,1,1,1,0
455,22,14,0,81951,0.941,1,1,1,0,0,0,1,1,1,0
456,22,15,0,93345,1.072,0,0,0,1,0,0,1,1,1,0
457,22,16,0,99346,1.141,1,0,0,1,0,0,1,1,1,0
458,22,17,0,96450,1.108,0,1,0,1,0,0,1,1,1,0
459,22,18,0,102451,1.177,1,1,0,1,0,0,1,1,1,0
460,22,19,0,111345,1.279,0,0,1,1,0,0,1,1,1,0
461,22,20,0,117346,1.348,1,0,1,1,0,0,1,1,1,0
462,22,21,0,114450,1.315,0,1,1,1,0,0,1,1,1,0
463,22,22,0,120451,1.384,1,1,1,1,0,0,1,1,1,0
464,21,22,1,55031,0.632,0,0,0,0,1,0,1,1,1,0
465,20,22,1,61032,0.701,1,0,0,0,1,0,1,1,1,0
466,19,22,1,58136,0.668,0,1,0,0,1,0,1,1,1,0
467,18,22,1,64137,0.737,1,1,0,0,1,0,1,1,1,0
468,17,22,0,73031,0.839,0,0,1,0,1,0,1,1,1,0
469,16,22,0,79032,0.908,1,0,1,0,1,0,1,1,1,0
470,15,22,0,76136,0.875,0,1,1,0,1,0,1,1,1,0
471,14,22,0,82137,0.943,1,1,1,0,1,0,1,1,1,0
472,13,22,0,93531,1.074,0,0,0,1,1,0,1,1,1,0
473,12,22,0,99532,1.143,1,0,0,1,1,0,1,1,1,0
474,11,22,0,96636,1.110,0,1,0,1,1,0,1,1,1,0
475,10,22,0,102637,1.179,1,1,0,1,1,0,1,1,1,0
476,9,22,0,111531,1.281,0,0,1,1,1,0,1,1,1,0
477,8,22,0,117532,1.350,1,0,1,1,1,0,1,1,1,0
478,7,22,0,114636,1.317,0,1,1,1,1,0,1,1,1,0
479,6,22,0,120637,1.386,1,1,1,1,1,0,1,1,1,0
480,5,22,1,56832,0.653,0,0,0,0,0,1,1,1,1,0
481,4,22,1,62833,0.722,1,0,0,0,0,1,1,1,1,0
482,3,22,1,59937,0.688,0,1,0,0,0,1,1,1,1,0
483,2,22,1,65938,0.757,1,1,0,0,0,1,1,1,1,0
484,1,22,0,74832,0.860,0,0,1,0,0,1,1,1,1,0
485,1,23,0,80833,0.928,1,0,1,0,0,1,1,1,1,0
486,2,23,0,77937,0.895,0,1,1,0,0,1,1,1,1,0
487,3,23,0,83938,0.964,1,1,1,0,0,1,1,1,1,0
488,4,23,0,95332,1.095,0,0,0,1,0,1,1,1,1,0
489,5,23,0,101333,1.164,1,0,0,1,0,1,1,1,1,0
490,6,23,0,98437,1.131,0,1,0,1,0,1,1,1,1,0
491,7,23,0,104438,1.200,1,1,0,1,0,1,1,1,1,0
492,8,23,0,113332,1.302,0,0,1,1,0,1,1,1,1,0
493,9,23,0,119333,1.371,1,0,1,1,0,1,1,1,1,0
494,10,23,0,116437,1.337,0,1,1,1,0,1,1,1,1,0
495,11,23,0,122438,1.406,1,1,1,1,0,1,1,1,1,0
496,12,23,1,57018,0.655,0,0,0,0,1,1,1,1,1,0
497,13,23,1,63019,0.724,1,0,0,0,1,1,1,1,1,0
498,14,23,1,60123,0.691,0,1,0,0,1,1,1,1,1,0
499,15,23,1,66124,0.760,1,1,0,0,1,1,1,1,1,0
500,16,23,0,75018,0.862,0,0,1,0,1,1,1,1,1,0
501,17,23,0,81019,0.931,1,0,1,0,1,1,1,1,1,0
502,18,23,0,78123,0.897,0,1,1,0,1,1,1,1,1,0
503,19,23,0,84124,0.966,1,1,1,0,1,1,1,1,1,0
504,20,23,0,95518,1.097,0,0,0,1,1,1,1,1,1,0
505,21,23,0,101519,1.166,1,0,0,1,1,1,1,1,1,0
506,22,23,0,98623,1.133,0,1,0,1,1,1,1,1,1,0
507,23,23,0,104624,1.202,1,1,0,1,1,1,1,1,1,0
508,23,22,0,113518,1.304,0,0,1,1,1,1,1,1,1,0
509,23,21,0,119519,1.373,1,0,1,1,1,1,1,1,1,0
510,23,20,0,116623,1.340,0,1,1,1,1,1,1,1,1,0
511,23,19,0,122624,1.408,1,1,1,1,1,1,1,1,1,0
512,23,18,1,3270,0.038,0,0,0,0,0,0,0,0,0,1
513,23,17,1,9271,0.106,1,0,0,0,0,0,0,0,0,1
514,23,16,1,6375,0.073,0,1,0,0,0,0,0,0,0,1
515,23,15,1,12376,0.142,1,1,0,0,0,0,0,0,0,1
516,23,14,1,21270,0.244,0,0,1,0,0,0,0,0,0,1
517,23,13,1,27271,0.313,1,0,1,0,0,0,0,0,0,1
518,23,12,1,24375,0.280,0,1,1,0,0,0,0,0,0,1
519,23,11,1,30376,0.349,1,1,1,0,0,0,0,0,0,1
520,23,10,1,41770,0.480,0,0,0,1,0,0,0,0,0,1
521,23,9,1,47771,0.549,1,0,0,1,0,0,0,0,0,1
522,23,8,1,44875,0.515,0,1,0,1,0,0,0,0,0,1
523,23,7,1,50876,0.584,1,1,0,1,0,0,0,0,0,1
524,23,6,1,59770,0.687,0,0,1,1,0,0,0,0,0,1
525,23,5,0,65771,0.755,1,0,1,1,0,0,0,0,0,1
526,23,4,1,62875,0.722,0,1,1,1,0,0,0,0,0,1
527,23,3,0,68876,0.791,1,1,1,1,0,0,0,0,0,1
528,23,2,1,3456,0.040,0,0,0,0,1,0,0,0,0,1
529,23,1,1,9457,0.109,1,0,0,0,1,0,0,0,0,1
530,24,1,1,6561,0.075,0,1,0,0,1,0,0,0,0,1
531,24,2,1,12562,0.144,1,1,0,0,1,0,0,0,0,1
532,24,3,1,21456,0.246,0,0,1,0,1,0,0,0,0,1
533,24,4,1,27457,0.315,1,0,1,0,1,0,0,0,0,1
534,24,5,1,24561,0.282,0,1,1,0,1,0,0,0,0,1
535,24,6,1,30562,0.351,1,1,1,0,1,0,0,0,0,1
536,24,7,1,41956,0.482,0,0,0,1,1,0,0,0,0,1
537,24,8,1,47957,0.551,1,0,0,1,1,0,0,0,0,1
538,24,9,1,45061,0.518,0,1,0,1,1,0,0,0,0,1
539,24,10,1,51062,0.587,1,1,0,1,1,0,0,0,0,1
540,24,11,1,59956,0.689,0,0,1,1,1,0,0,0,0,1
541,24,12,0,65957,0.758,1,0,1,1,1,0,0,0,0,1
542,24,13,1,63061,0.724,0,1,1,1,1,0,0,0,0,1
543,24,14,0,69062,0.793,1,1,1,1,1,0,0,0,0,1
544,24,15,1,5257,0.060,0,0,0,0,0,1,0,0,0,1
545,24,16,1,11258,0.129,1,0,0,0,0,1,0,0,0,1
546,24,17,1,8362,0.096,0,1,0,0,0,1,0,0,0,1
547,24,18,1,14363,0.165,1,1,0,0,0,1,0,0,0,1
548,24,19,1,23257,0.267,0,0,1,0,0,1,0,0,0,1
549,24,20,1,29258,0.336,1,0,1,0,0,1,0,0,0,1
550,24,21,1,26362,0.303,0,1,1,0,0,1,0,0,0,1
551,24,22,1,32363,0.372,1,1,1,0,0,1,0,0,0,1
552,24,23,1,43757,0.503,0,0,0,1,0,1,0,0,0,1
553,24,24,1,49758,0.572,1,0,0,1,0,1,0,0,0,1
554,23,24,1,46862,0.538,0,1,0,1,0,1,0,0,0,1
555,22,24,1,52863,0.607,1,1,0,1,0,1,0,0,0,1
556,21,24,1,61757,0.709,0,0,1,1,0,1,0,0,0,1
557,20,24,0,67758,0.778,1,0,1,1,0,1,0,0,0,1
558,19,24,1,64862,0.745,0,1,1,1,0,1,0,0,0,1
559,18,24,0,70863,0.814,1,1,1,1,0,1,0,0,0,1
560,17,24,1,5443,0.063,0,0,0,0,1,1,0,0,0,1
561,16,24,1,11444,0.131,1,0,0,0,1,1,0,0,0,1
562,15,24,1,8548,0.098,0,1,0,0,1,1,0,0,0,1
563,14,24,1,14549,0.167,1,1,0,0,1,1,0,0,0,1
564,13,24,1,23443,0.269,0,0,1,0,1,1,0,0,0,1
565,12,24,1,29444,0.338,1,0,1,0,1,1,0,0,0,1
566,11,24,1,26548,0.305,0,1,1,0,1,1,0,0,0,1
567,10,24,1,32549,0.374,1,1,1,0,1,1,0,0,0,1
568,9,24,1,43943,0.505,0,0,0,1,1,1,0,0,0,1
569,8,24,1,49944,0.574,1,0,0,1,1,1,0,0,0,1
570,7,24,1,47048,0.540,0,1,0,1,1,1,0,0,0,1
571,6,24,1,53049,0.609,1,1,0,1,1,1,0,0,0,1
572,5,24,1,61943,0.711,0,0,1,1,1,1,0,0,0,1
573,4,24,0,67944,0.780,1,0,1,1,1,1,0,0,0,1
574,3,24,1,65048,0.747,0,1,1,1,1,1,0,0,0,1
575,2,24,0,71049,0.816,1,1,1,1,1,1,0,0,0,1
576,1,24,1,12090,0.139,0,0,0,0,0,0,1,0,0,1
577,1,25,1,18091,0.208,1,0,0,0,0,0,1,0,0,1
578,2,25,1,15195,0.175,0,1,0,0,0,0,1,0,0,1
579,3,25,1,21196,0.243,1,1,0,0,0,0,1,0,0,1
580,4,25,1,30090,0.346,0,0,1,0,0,0,1,0,0,1
581,5,25,1,36091,0.415,1,0,1,0,0,0,1,0,0,1
582,6,25,1,33195,0.381,0,1,1,0,0,0,1,0,0,1
583,7,25,1,39196,0.450,1,1,1,0,0,0,1,0,0,1
584,8,25,1,50590,0.581,0,0,0,1,0,0,1,0,0,1
585,9,25,1,56591,0.650,1,0,0,1,0,0,1,0,0,1
586,10,25,1,53695,0.617,0,1,0,1,0,0,1,0,0,1
587,11,25,1,59696,0.686,1,1,0,1,0,0,1,0,0,1
588,12,25,0,68590,0.788,0,0,1,1,0,0,1,0,0,1
589,13,25,0,74591,0.857,1,0,1,1,0,0,1,0,0,1
590,14,25,0,71695,0.824,0,1,1,1,0,0,1,0,0,1
591,15,25,0,77696,0.892,1,1,1,1,0,0,1,0,0,1
592,16,25,1,12276,0.141,0,0,0,0,1,0,1,0,0,1
593,17,25,1,18277,0.210,1,0,0,0,1,0,1,0,0,1
594,18,25,1,15381,0.177,0,1,0,0,1,0,1,0,0,1
595,19,25,1,21382,0.246,1,1,0,0,1,0,1,0,0,1
596,20,25,1,30276,0.348,0,0,1,0,1,0,1,0,0,1
597,21,25,1,36277,0.417,1,0,1,0,1,0,1,0,0,1
598,22,25,1,33381,0.383,0,1,1,0,1,0,1,0,0,1
599,23,25,1,39382,0.452,1,1,1,0,1,0,1,0,0,1
600,24,25,1,50776,0.583,0,0,0,1,1,0,1,0,0,1
601,25,25,1,56777,0.652,1,0,0,1,1,0,1,0,0,1
602,25,24,1,53881,0.619,0,1,0,1,1,0,1,0,0,1
603,25,23,1,59882,0.688,1,1,0,1,1,0,1,0,0,1
604,25,22,0,68776,0.790,0,0,1,1,1,0,1,0,0,1
605,25,21,0,74777,0.859,1,0,1,1,1,0,1,0,0,1
606,25,20,0,71881,0.826,0,1,1,1,1,0,1,0,0,1
607,25,19,0,77882,0.895,1,1,1,1,1,0,1,0,0,1
608,25,18,1,14077,0.162,0,0,0,0,0,1,1,0,0,1
609,25,17,1,20078,0.231,1,0,0,0,0,1,1,0,0,1
610,25,16,1,17182,0.197,0,1,0,0,0,1,1,0,0,1
611,25,15,1,23183,0.266,1,1,0,0,0,1,1,0,0,1
612,25,14,1,32077,0.368,0,0,1,0,0,1,1,0,0,1
613,25,13,1,38078,0.437,1,0,1,0,0,1,1,0,0,1
614,25,12,1,35182,0.404,0,1,1,0,0,1,1,0,0,1
615,25,11,1,41183,0.473,1,1,1,0,0,1,1,0,0,1
616,25,10,1,52577,0.604,0,0,0,1,0,1,1,0,0,1
617,25,9,1,58578,0.673,1,0,0,1,0,1,1,0,0,1
618,25,8,1,55682,0.640,0,1,0,1,0,1,1,0,0,1
619,25,7,1,61683,0.709,1,1,0,1,0,1,1,0,0,1
620,25,6,0,70577,0.811,0,0,1,1,0,1,1,0,0,1
621,25,5,0,76578,0.880,1,0,1,1,0,1,1,0,0,1
622,25,4,0,73682,0.846,0,1,1,1,0,1,1,0,0,1
623,25,3,0,79683,0.915,1,1,1,1,0,1,1,0,0,1
624,25,2,1,14263,0.164,0,0,0,0,1,1,1,0,0,1
625,25,1,1,20264,0.233,1,0,0,0,1,1,1,0,0,1
626,26,1,1,17368,0.199,0,1,0,0,1,1,1,0,0,1
627,26,2,1,23369,0.268,1,1,0,0,1,1,1,0,0,1
628,26,3,1,32263,0.371,0,0,1,0,1,1,1,0,0,1
629,26,4,1,38264,0.440,1,0,1,0,1,1,1,0,0,1
630,26,5,1,35368,0.406,0,1,1,0,1,1,1,0,0,1
631,26,6,1,41369,0.475,1,1,1,0,1,1,1,0,0,1
632,26,7,1,52763,0.606,0,0,0,1,1,1,1,0,0,1
633,26,8,1,58764,0.675,1,0,0,1,1,1,1,0,0,1
634,26,9,1,55868,0.642,0,1,0,1,1,1,1,0,0,1
635,26,10,0,61869,0.711,1,1,0,1,1,1,1,0,0,1
636,26,11,0,70763,0.813,0,0,1,1,1,1,1,0,0,1
637,26,12,0,76764,0.882,1,0,1,1,1,1,1,0,0,1
638,26,13,0,73868,0.848,0,1,1,1,1,1,1,0,0,1
639,26,14,0,79869,0.917,1,1,1,1,1,1,1,0,0,1
640,26,15,1,45270,0.520,0,0,0,0,0,0,0,1,0,1
641,26,16,1,51271,0.589,1,0,0,0,0,0,0,1,0,1
642,26,17,1,48375,0.556,0,1,0,0,0,0,0,1,0,1
643,26,18,1,54376,0.625,1,1,0,0,0,0,0,1,0,1
644,26,19,1,63270,0.727,0,0,1,0,0,0,0,1,0,1
645,26,20,1,69271,0.796,1,0,1,0,0,0,0,1,0,1
646,26,21,1,66375,0.762,0,1,1,0,0,0,0,1,0,1
647,26,22,1,72376,0.831,1,1,1,0,0,0,0,1,0,1
648,26,23,1,83770,0.962,0,0,0,1,0,0,0,1,0,1
649,26,24,0,89771,1.031,1,0,0,1,0,0,0,1,0,1
650,26,25,1,86875,0.998,0,1,0,1,0,0,0,1,0,1
651,26,26,0,92876,1.067,1,1,0,1,0,0,0,1,0,1
652,25,26,0,101770,1.169,0,0,1,1,0,0,0,1,0,1
653,24,26,0,107771,1.238,1,0,1,1,0,0,0,1,0,1
654,23,26,0,104875,1.205,0,1,1,1,0,0,0,1,0,1
655,22,26,0,110876,1.274,1,1,1,1,0,0,0,1,0,1
656,21,26,1,45456,0.522,0,0,0,0,1,0,0,1,0,1
657,20,26,1,51457,0.591,1,0,0,0,1,0,0,1,0,1
658,19,26,1,48561,0.558,0,1,0,0,1,0,0,1,0,1
659,18,26,1,54562,0.627,1,1,0,0,1,0,0,1,0,1
660,17,26,1,63456,0.729,0,0,1,0,1,0,0,1,0,1
661,16,26,1,69457,0.798,1,0,1,0,1,0,0,1,0,1
662,15,26,1,66561,0.765,0,1,1,0,1,0,0,1,0,1
663,14,26,1,72562,0.833,1,1,1,0,1,0,0,1,0,1
664,13,26,1,83956,0.964,0,0,0,1,1,0,0,1,0,1
665,12,26,0,89957,1.033,1,0,0,1,1,0,0,1,0,1
666,11,26,1,87061,1.000,0,1,0,1,1,0,0,1,0,1
667,10,26,0,93062,1.069,1,1,0,1,1,0,0,1,0,1
668,9,26,0,101956,1.171,0,0,1,1,1,0,0,1,0,1
669,8,26,0,107957,1.240,1,0,1,1,1,0,0,1,0,1
670,7,26,0,105061,1.207,0,1,1,1,1,0,0,1,0,1
671,6,26,0,111062,1.276,1,1,1,1,1,0,0,1,0,1
672,5,26,1,47257,0.543,0,0,0,0,0,1,0,1,0,1
673,4,26,1,53258,0.612,1,0,0,0,0,1,0,1,0,1
674,3,26,1,50362,0.578,0,1,0,0,0,1,0,1,0,1
675,2,26,1,56363,0.647,1,1,0,0,0,1,0,1,0,1
676,1,26,1,65257,0.750,0,0,1,0,0,1,0,1,0,1
677,1,27,1,71258,0.818,1,0,1,0,0,1,0,1,0,1
678,2,27,1,68362,0.785,0,1,1,0,0,1,0,1,0,1
679,3,27,1,74363,0.854,1,1,1,0,0,1,0,1,0,1
680,4,27,1,85757,0.985,0,0,0,1,0,1,0,1,0,1
681,5,27,0,91758,1.054,1,0,0,1,0,1,0,1,0,1
682,6,27,0,88862,1.021,0,1,0,1,0,1,0,1,0,1
683,7,27,0,94863,1.090,1,1,0,1,0,1,0,1,0,1
684,8,27,0,103757,1.192,0,0,1,1,0,1,0,1,0,1
685,9,27,0,109758,1.261,1,0,1,1,0,1,0,1,0,1
686,10,27,0,106862,1.227,0,1,1,1,0,1,0,1,0,1
687,11,27,0,112863,1.296,1,1,1,1,0,1,0,1,0,1
688,12,27,1,47443,0.545,0,0,0,0,1,1,0,1,0,1
689,13,27,1,53444,0.614,1,0,0,0,1,1,0,1,0,1
690,14,27,1,50548,0.581,0,1,0,0,1,1,0,1,0,1
691,15,27,1,56549,0.650,1,1,0,0,1,1,0,1,0,1
692,16,27,1,65443,0.752,0,0,1,0,1,1,0,1,0,1
693,17,27,1,71444,0.821,1,0,1,0,1,1,0,1,0,1
694,18,27,1,68548,0.787,0,1,1,0,1,1,0,1,0,1
695,19,27,1,74549,0.856,1,1,1,0,1,1,0,1,0,1
696,20,27,1,85943,0.987,0,0,0,1,1,1,0,1,0,1
697,21,27,0,91944,1.056,1,0,0,1,1,1,0,1,0,1
698,22,27,0,89048,1.023,0,1,0,1,1,1,0,1,0,1
699,23,27,0,95049,1.092,1,1,0,1,1,1,0,1,0,1
700,24,27,0,103943,1.194,0,0,1,1,1,1,0,1,0,1
701,25,27,0,109944,1.263,1,0,1,1,1,1,0,1,0,1
702,26,27,0,107048,1.230,0,1,1,1,1,1,0,1,0,1
703,27,27,0,113049,1.299,1,1,1,1,1,1,0,1,0,1
704,27,26,1,54090,0.621,0,0,0,0,0,0,1,1,0,1
705,27,25,1,60091,0.690,1,0,0,0,0,0,1,1,0,1
706,27,24,1,57195,0.657,0,1,0,0,0,0,1,1,0,1
707,27,23,1,63196,0.726,1,1,0,0,0,0,1,1,0,1
708,27,22,1,72090,0.828,0,0,1,0,0,0,1,1,0,1
709,27,21,1,78091,0.897,1,0,1,0,0,0,1,1,0,1
710,27,20,1,75195,0.864,0,1,1,0,0,0,1,1,0,1
711,27,19,1,81196,0.933,1,1,1,0,0,0,1,1,0,1
712,27,18,0,92590,1.064,0,0,0,1,0,0,1,1,0,1
713,27,17,0,98591,1.132,1,0,0,1,0,0,1,1,0,1
714,27,16,0,95695,1.099,0,1,0,1,0,0,1,1,0,1
715,27,15,0,101696,1.168,1,1,0,1,0,0,1,1,0,1
716,27,14,0,110590,1.270,0,0,1,1,0,0,1,1,0,1
717,27,13,0,116591,1.339,1,0,1,1,0,0,1,1,0,1
718,27,12,0,113695,1.306,0,1,1,1,0,0,1,1,0,1
719,27,11,0,119696,1.375,1,1,1,1,0,0,1,1,0,1
720,27,10,1,54276,0.623,0,0,0,0,1,0,1,1,0,1
721,27,9,1,60277,0.692,1,0,0,0,1,0,1,1,0,1
722,27,8,1,57381,0.659,0,1,0,0,1,0,1,1,0,1
723,27,7,1,63382,0.728,1,1,0,0,1,0,1,1,0,1
724,27,6,1,72276,0.830,0,0,1,0,1,0,1,1,0,1
725,27,5,1,78277,0.899,1,0,1,0,1,0,1,1,0,1
726,27,4,1,75381,0.866,0,1,1,0,1,0,1,1,0,1
727,27,3,1,81382,0.935,1,1,1,0,1,0,1,1,0,1
728,27,2,0,92776,1.066,0,0,0,1,1,0,1,1,0,1
729,27,1,0,98777,1.135,1,0,0,1,1,0,1,1,0,1
730,28,1,0,95881,1.101,0,1,0,1,1,0,1,1,0,1
731,28,2,0,101882,1.170,1,1,0,1,1,0,1,1,0,1
732,28,3,0,110776,1.272,0,0,1,1,1,0,1,1,0,1
733,28,4,0,116777,1.341,1,0,1,1,1,0,1,1,0,1
734,28,5,0,113881,1.308,0,1,1,1,1,0,1,1,0,1
735,28,6,0,119882,1.377,1,1,1,1,1,0,1,1,0,1
736,28,7,1,56077,0.644,0,0,0,0,0,1,1,1,0,1
737,28,8,1,62078,0.713,1,0,0,0,0,1,1,1,0,1
738,28,9,1,59182,0.680,0,1,0,0,0,1,1,1,0,1
739,28,10,1,65183,0.749,1,1,0,0,0,1,1,1,0,1
740,28,11,1,74077,0.851,0,0,1,0,0,1,1,1,0,1
741,28,12,1,80078,0.920,1,0,1,0,0,1,1,1,0,1
742,28,13,1,77182,0.887,0,1,1,0,0,1,1,1,0,1
743,28,14,1,83183,0.955,1,1,1,0,0,1,1,1,0,1
744,28,15,0,94577,1.086,0,0,0,1,0,1,1,1,0,1
745,28,16,0,100578,1.155,1,0,0,1,0,1,1,1,0,1
746,28,17,0,97682,1.122,0,1,0,1,0,1,1,1,0,1
747,28,18,0,103683,1.191,1,1,0,1,0,1,1,1,0,1
748,28,19,0,112577,1.293,0,0,1,1,0,1,1,1,0,1
749,28,20,0,118578,1.362,1,0,1,1,0,1,1,1,0,1
750,28,21,0,115682,1.329,0,1,1,1,0,1,1,1,0,1
751,28,22,0,121683,1.398,1,1,1,1,0,1,1,1,0,1
752,28,23,1,56263,0.646,0,0,0,0,1,1,1,1,0,1
753,28,24,1,62264,0.715,1,0,0,0,1,1,1,1,0,1
754,28,25,1,59368,0.682,0,1,0,0,1,1,1,1,0,1
755,28,26,1,65369,0.751,1,1,0,0,1,1,1,1,0,1
756,28,27,1,74263,0.853,0,0,1,0,1,1,1,1,0,1
757,28,28,1,80264,0.922,1,0,1,0,1,1,1,1,0,1
758,27,28,1,77368,0.889,0,1,1,0,1,1,1,1,0,1
759,26,28,1,83369,0.958,1,1,1,0,1,1,1,1,0,1
760,25,28,0,94763,1.088,0,0,0,1,1,1,1,1,0,1
761,24,28,0,100764,1.157,1,0,0,1,1,1,1,1,0,1
762,23,28,0,97868,1.124,0,1,0,1,1,1,1,1,0,1
763,22,28,0,103869,1.193,1,1,0,1,1,1,1,1,0,1
764,21,28,0,112763,1.295,0,0,1,1,1,1,1,1,0,1
765,20,28,0,118764,1.364,1,0,1,1,1,1,1,1,0,1
766,19,28,0,115868,1.331,0,1,1,1,1,1,1,1,0,1
767,18,28,0,121869,1.400,1,1,1,1,1,1,1,1,0,1
768,17,28,1,7295,0.084,0,0,0,0,0,0,0,0,1,1
769,16,28,1,13296,0.153,1,0,0,0,0,0,0,0,1,1
770,15,28,1,10400,0.119,0,1,0,0,0,0,0,0,1,1
771,14,28,1,16401,0.188,1,1,0,0,0,0,0,0,1,1
772,13,28,1,25295,0.291,0,0,1,0,0,0,0,0,1,1
773,12,28,1,31296,0.359,1,0,1,0,0,0,0,0,1,1
774,11,28,1,28400,0.326,0,1,1,0,0,0,0,0,1,1
775,10,28,1,34401,0.395,1,1,1,0,0,0,0,0,1,1
776,9,28,1,45795,0.526,0,0,0,1,0,0,0,0,1,1
777,8,28,1,51796,0.595,1,0,0,1,0,0,0,0,1,1
778,7,28,1,48900,0.562,0,1,0,1,0,0,0,0,1,1
779,6,28,1,54901,0.631,1,1,0,1,0,0,0,0,1,1
780,5,28,0,63795,0.733,0,0,1,1,0,0,0,0,1,1
781,4,28,0,69796,0.802,1,0,1,1,0,0,0,0,1,1
782,3,28,0,66900,0.768,0,1,1,1,0,0,0,0,1,1
783,2,28,0,72901,0.837,1,1,1,1,0,0,0,0,1,1
784,1,28,1,7481,0.086,0,0,0,0,1,0,0,0,1,1
785,1,29,1,13482,0.155,1,0,0,0,1,0,0,0,1,1
786,2,29,1,10586,0.122,0,1,0,0,1,0,0,0,1,1
787,3,29,1,16587,0.191,1,1,0,0,1,0,0,0,1,1
788,4,29,1,25481,0.293,0,0,1,0,1,0,0,0,1,1
789,5,29,1,31482,0.362,1,0,1,0,1,0,0,0,1,1
790,6,29,1,28586,0.328,0,1,1,0,1,0,0,0,1,1
791,7,29,1,34587,0.397,1,1,1,0,1,0,0,0,1,1
792,8,29,1,45981,0.528,0,0,0,1,1,0,0,0,1,1
793,9,29,1,51982,0.597,1,0,0,1,1,0,0,0,1,1
794,10,29,1,49086,0.564,0,1,0,1,1,0,0,0,1,1
795,11,29,1,55087,0.633,1,1,0,1,1,0,0,0,1,1
